Taxon,Member,Notes
Cynognathus sp,Upper Fremouw,A cynodont
Diademodontidae indet,Upper Fremouw,A cynodont
Ericiolacerta parva,Lower Fremouw,A therocephalian
Kannemeyeriidae indet,Upper Fremouw,A dicynodont
Kombuisia antarctica,Lower Fremouw,A dicynodont
Lystrosaurus curvatus,Lower Fremouw,A dicynodont
Lystrosaurus murrayi,Lower Fremouw,A dicynodont
Myosaurus gracilis,Lower Fremouw,A dicynodont
Pedaeosaurus parvus,Lower Fremouw,A therocephalian
Rhigosaurus glacialis,Lower Fremouw,A therocephalian
Thrinaxodon liorhinus,Lower Fremouw,A cynodont
