Name,Took office,Group
Éric Bocquet,2011,French Communist Party ( PCF )
Marc-Philippe Daubresse,2017,The Republicans ( LR )
Patrick Kanner,2017,Socialist Party ( PS )
Valérie Létard,"2001-2007 , from 2010",Union of Democrats and Independents ( UDI )
Jean-Pierre Decool,2017,Miscellaneous right ( DVD )
Martine Filleul,2017,Socialist Party ( PS )
Frédéric Marchand,2017,La République En Marche ! ( REM ) ]
Dany Wattebled,2017,Miscellaneous right ( DVD )
Michelle Gréaume,2017,French Communist Party ( PCF )
Brigitte Lherbier,2017,The Republicans ( LR )
Olivier Henno,2017,Union of Democrats and Independents ( UDI )
