Country,Qualified as,Qualified on,Previous appearances in tournament
Finland,Host,11 July 2006,1 ( 2005 )
England,Group 1 winner,2 October 2008,"5 ( 1984 , 1987 , 1995 , 2001 , 2005 )"
Sweden,Group 2 winner,1 October 2008,"7 ( 1984 , 1987 , 1989 , 1995 , 1997 , 2001 , 2005 )"
France,Group 3 winner,27 September 2008,"3 ( 1997 , 2001 , 2005 )"
Germany,Group 4 winner,1 October 2008,"7 ( 1989 , 1991 , 1993 , 1995 , 1997 , 2001 , 2005 )"
Denmark,Group 5 winner,1 October 2008,"6 ( 1984 , 1991 , 1993 , 1997 , 2001 , 2005 )"
Norway,Group 6 winner,2 October 2008,"8 ( 1987 , 1989 , 1991 , 1993 , 1995 , 1997 , 2001 , 2005 )"
Italy,Play-off winner,29 October 2008,"8 ( 1984 , 1987 , 1989 , 1991 , 1993 , 1997 , 2001 , 2005 )"
Russia,Play-off winner,30 October 2008,"2 ( 1997 , 2001 )"
Ukraine,Play-off winner,30 October 2008,0 ( debut )
Iceland,Play-off winner,30 October 2008,0 ( debut )
Netherlands,Play-off winner,30 October 2008,0 ( debut )
