Year,Title,Role
1957,The Violators,Sam
1958,Lonelyhearts,Pat Doyle
1960,The Mountain Road,Sgt . Ballo
1960,The Great Impostor,Tirdell
1961,By Love Possessed,Jerry Brophy
1961,Ada,Ronnie Hallerton
1962,The Horizontal Lieutenant,Col. Frank Delgan
1962,The Intruder,Tom McDaniel
1962,Pressure Point,Bund Meeting Speaker
1963,The Haunted Palace,Dr. Marinus Willet / Priam Willet
1965,A Rage to Live,George Jay
1966,Madame X,Dr. Evans
1966,The Wild Angels,Preacher
1974,Mr. Majestyk,Det . Lt. McAllen
1981,The Chosen,Radio Announcer
