Name,Position,School,Number,Official,Other
Dan Foldberg,End,Army,8/8,"AAB , AFCA , APO , FWO , INSO , NEA , SN , UP","CP , WC"
Bud McFadin,Guard,Texas,8/8,"AAB , AFCA , APO , FWO , INSO , NEA , SN , UP","CP , WC"
Vic Janowicz,Halfback,Ohio State,8/8,"AAB , AFCA , APD , FW , INSD , NEA , SN , UP","CP , WC"
Kyle Rote,Halfback,SMU,7/8,"AAB , AFCA , FWO , INSO , NEA , SN , UP","CP , WC"
Bill McColl,End,Stanford,7/8,"AAB , AFCA , FWD , INSD , NEA , SN , UP","CP , WC"
Bob Gain,Tackle,Kentucky,7/8,"AAB , APO , FWO , INSD , NEA , SN , UP","CP , WC"
Jim Weatherall,Tackle,Oklahoma,7/8,"AFCA , APO , FWO , INSO , NEA , SN , UP","CP , WC"
Les Richter,Guard,California,6/8,"AAB , APD , FWD , INSO , SN , UP","CP , WC"
Babe Parilli,Quarterback,Kentucky,5/8,"AAB , AFCA , INSO , NEA , SN",WC
Leon Heath,Fullback,Oklahoma,4/8,"AAB , AFCA , INSD , UP",WC
Jerry Groom,Center,Notre Dame,3/8,"NEA , SN , UP","CP , WC"
