Event,Date,Venue,Location,Attendance
"Smackgirl World ReMix 2008 Second Round ( SMACKGIRL WORLD ReMix TOURNAMENT 2008 準決勝 , smackgirl world remix tournament 2008 junkesshō )","April 25 , 2008",Korakuen Hall,"Bunkyo , Tokyo , Japan",
"Smackgirl World ReMix 2008 Opening Round ( SMACKGIRL WORLD ReMix TOURNAMENT 2008 開幕戦 , smackgirl world remix tournament 2008 kaimakusen )","February 14 , 2008",Korakuen Hall,"Bunkyo , Tokyo , Japan","1,205"
Smackgirl 7th Anniversary : Starting Over,"December 26 , 2007",Korakuen Hall,"Bunkyo , Tokyo , Japan","1,546"
"Smackgirl 2007 : Queens ' Hottest Summer ( SMACKGIRL 2007 〜女王たちの一番熱い夏〜 , smackgirl 2007 joō tachi no ichiban atsui natsu ~ )","September 6 , 2007",Korakuen Hall,"Bunkyo , Tokyo , Japan","1,596"
"Smackgirl in Summerfest ! ! ( SMACKGIRL IN サマフェス ! ! , smackgirl in samafesu ! ! )","July 26 , 2007",Yoyogi Park,"Shibuya , Tokyo , Japan",
"Smackgirl 2007 : The Queen Said The USA Is Strongest ( SMACKGIRL 2007 ～最強はUSAだと女王は言った～ , smackgirl 2007 saikyō wa usa dato joō wa iu )","May 19 , 2007",Shinjuku Face,"Kabukicho , Tokyo , Japan",650
"Smackgirl 2007 : The Dance of the Taisho Romance ( SMACKGIRL 2007 ～絶対女王は大正浪漫を舞ひ奏で～ , smackgirl 2007 zettai joō wa taishō roman o maihi kanaderu )","April 28 , 2007",Azalea Taisho Hall,"Taisho-ku , Osaka , Japan",610
"Smackgirl 2007 : Will The Queen Paint The Shinjuku Skies Red ? ( SMACKGIRL 2007 ～女王は新宿の夜を赤く染るか？～ , smackgirl 2007 joō wa shinjuku no yoru o akaku somaru ka ? )","March 11 , 2007",Shinjuku Face,"Kabukicho , Tokyo , Japan",968
"Smackgirl 2006 : Legend of Extreme Women ( SMACKGIRL 2006 〜極女伝説〜 , smackgirl 2006 kyoku jo densetsu )","November 29 , 2006",Korakuen Hall,"Bunkyo , Tokyo , Japan","1,396"
"Smackgirl 2006 : Women Hold Their Ground ( SMACKGIRL 2006 〜群女割拠〜 , smackgirl 2006 gun onna kakkyo )","September 15 , 2006",Korakuen Hall,"Bunkyo , Tokyo , Japan","1,375"
"Smackgirl 2006 : Top Girl Battle ( SMACKGIRL 2006 〜頂女決戦〜 , smackgirl 2006 itadaki onna kessen )","June 30 , 2006",Korakuen Hall,"Bunkyo , Tokyo , Japan","1,480"
"Smackgirl 2006 : Queen 's Triumphant Return ( SMACKGIRL 2006 〜女王凱旋〜 , smackgirl 2006 joō gaisen )","April 22 , 2006",Azalea Taisho Hall,"Taisho-ku , Osaka , Japan",600
"Smackgirl 2006 : Advent of Goddess ( SMACKGIRL 2006 〜女神降臨〜 , smackgirl 2006 megami kōrin )","February 15 , 2006",Korakuen Hall,"Bunkyo , Tokyo , Japan","1,313"
"Smackgirl 2005 : Lightweight Anniversary ( SMACKGIRL 2005 〜最軽量記念日〜 , smackgirl 2005 sai keiryō kinenbi )","November 29 , 2005",Korakuen Hall,"Bunkyo , Tokyo , Japan","1,550"
Smackgirl 2005 : Dynamic ! !,"August 17 , 2005","Yoyogi National Gymnasium , 2nd Gymnasium","Shibuya , Tokyo , Japan","2,315"
Smackgirl 2005 : Road to Dynamic ! !,"June 28 , 2005",Korakuen Hall,"Bunkyo , Tokyo , Japan","1,540"
Smackgirl : Korea 2005,"May 21 , 2005",Dream Tower,"Suwon , Gyeonggi-do , South Korea",
Smackgirl 2005 : Cool Fighter Last Stand,"April 30 , 2005",Kira Messe Numazu,"Numazu , Shizuoka Prefecture , Japan",714
Smackgirl : Niigata Revival Festival 2005,"April 10 , 2005",Niigata Phase,"Niigata , Niigata Prefecture , Japan",
Smackgirl 2004 : World ReMix,"December 19 , 2004",Twin Messe Shizuoka,"Shizuoka , Shizuoka Prefecture , Japan","1,717"
