Event,Winner,Prize,Runner-up
"$ 1,500 Limit Hold'em",Charles Brahmi,"$ 338,000",John Bonetti
"$ 1,500 Razz",Paul Clark,"$ 84,610",Simon Zhang
"$ 2,500 Limit Hold'em",John Esposito,"$ 219,225",Mimi Tran
"$ 2,500 Seven Card Stud",David Grey,"$ 199,000",Eli Balas
"$ 2,500 Pot Limit Omaha w/Rebuys",Hassan Kamoei,"$ 173,000",Norbert Hoelting
"$ 2,500 Seven Card Stud Hi-Lo Split",Ron Long,"$ 170,000",Brian Nadell
"$ 2,500 No Limit Hold'em",Eric Holum,"$ 283,975",Ted Forrest
"$ 2,500 Limit Omaha",Tom Franklin,"$ 104,000",Erik Alps
"$ 2,500 Omaha Hi-Lo Split",Steve Badger,"$ 186,000",Larry Anderson
"$ 3,000 Limit Hold'em",Josh Arieh,"$ 202,800",Humberto Brenes
"$ 3,500 No Limit Hold'em",Mike Matusow,"$ 265,475",Alex Brenes
"$ 3,000 Pot Limit Hold'em",Layne Flack,"$ 224,400",Matt Lefkowitz
"$ 5,000 Limit Hold'em",Eli Balas,"$ 220,000",Annie Duke
"$ 1,500 Omaha Hi-Lo Split",Mike Wattel,"$ 134,865",Ed Smith
"$ 1,000 Ladies ' Seven Card Stud",Christina Pie,"$ 34,000",LaVonne Joyce
