Name,Park,Type,Opened
Adventure Alley,United States Six Flags Great Adventure,Themed area,April 5
Air Jumbo,United States Six Flags Great Adventure,Aerial carousel,May 23
Alpine Freefalls,United States Great Escape,ProSlide water slide complex,June 2
Angry Birds Land,Finland Särkänniemi,Themed area,June 8
Aquanura,Netherlands Efteling,Dancing fountain show,May 31
Big Red Boat,Australia Dreamworld,Rockin ' Tug,December 14
Black Widow,United States Kennywood,Zamperla pendulum ride,June 8
Bonzai Pipeline,United States Six Flags St. Louis,ProSlide SuperLoop,May 26
Buena Vista Street,United States Disney California Adventure,Themed area,June 15
Burnout,Australia Funfields,Chance Rides Trabant,November 23
Cars Land,United States Disney California Adventure,Themed area,June 15
Celebrate the Magic,United States Magic Kingdom,Nighttime spectacular,November 13
Celebration Plaza,United States Cedar Point,Themed area,June 8
Constrictor,Australia Wet ' n'Wild Water World,WhiteWater West Family Constrictor water slide,September 28
Déjà Vu,United States Six Flags Great Adventure,Scrambler,May 23
Despicable Me Minion Mayhem,United States Universal Studios Florida,Infitec 3D simulator ride,July 2
Dinosaur Island,Australia Sea World,Dinosaur exhibit,June 16
Dinosaurs Alive !,Canada Canada 's Wonderland United States Cedar Point United States Dorney Park United States Kings Dominion,Dinosaur exhibit,May 6 May 12 April 28 April 6
Disney Dreams !,France Disneyland Park ( Paris ),Nighttime spectacular,April 1
Dragster H2O,United States Soak City : Cedar Point,Multi-lane racer,May 27
