Season,Player,Team,Goals
1966-67,Abdelatif Chiadmi,Difaa El Jadida,18
1967-68,Hassan Chicha,Difaa El Jadida,19
1968-69,Ahmed Faras,Chabab Mohammédia,16
1972-73,Ahmed Faras,Chabab Mohammédia,16
1974-75,Hassan Chicha,Difaa El Jadida,12
1976-77,Mohamed Boussati,KAC Kenitra,17
1979-80,Idriss Ouadich,AS FAR,15
1980-81,Mohamed Boussati,KAC Kenitra,17
1981-82,Mohamed Boussati,KAC Kenitra,25
1982-83,Abdeslam Laghrissi,AS FAR,14
1983-84,Mjidou Tmimi,Wydad Casablanca Mouloudia d'Oujda,11
1984-85,Boushaba,Renaissance Berkane,13
1985-86,Hassan Nader Mohammed Chaouch,Wydad Casablanca Kawkab Marrakech,13
1986-87,Abderrazak Khairi,AS FAR,12
1987-88,Lahcen Anaflous,AS FAR,17
1988-89,Hassan Nader,Wydad Casablanca,18
1989-90,Abdeslam Laghrissi,AS FAR,22
1990-91,Lahcen Anaflous,AS FAR,15
1991-92,Lahcen Anaflous,AS FAR,11
1992-93,Youssef Fertout,Wydad Casablanca,18
