Department,Seat,Area ( km2 ),Population ( 2010 ),Population ( 2001 ),Density ( 2010 )
Almirante Brown,Pampa del Infierno,"17,276","34,075","29,086",1.97
Bermejo,La Leonesa,"2,562","25,052","24,215",9.77
Chacabuco,Charata,"1,378","30,590","27,813",22.19
Comandante Fernández,Presidencia Roque Sáenz Peña,"1,500","96,944","88,164",64.63
12 de Octubre,General Pinedo,"2,576","22,281","20,149",8.65
2 de Abril,Hermoso Campo,"1,594","7,432","7,435",4.66
Fray Justo Santa María del Oro,Santa Sylvina,"2,205","11,826","10,485",5.36
General Belgrano,Corzuela,"1,218","11,988","10,470",9.84
General Donovan,Makallé,"1,487","13,490","13,385",9.07
General Güemes,Juan José Castelli,"25,487","67,132","62,227",2.63
Independencia,Campo Largo,"1,871","22,411","20,620",11.98
Libertad,Puerto Tirol,"1,088","12,158","10,822",11.17
Libertador General San Martín,General José de San Martín,"7,800","59,147","54,470",7.58
Maipú,Tres Isletas,"2,855","25,288","24,747",8.85
Mayor Luis J. Fontana,Villa Ángela,"3,708","55,080","53,550",14.85
9 de Julio,Las Breñas,"2,097","28,555","26,955",13.61
O'Higgins,San Bernardo,"1,580","20,131","19,231",12.74
Presidencia de la Plaza,Presidencia de la Plaza,"2,284","12,499","12,231",5.47
Primero de Mayo,Margarita Belén,"1,864","10,322","9,131",5.53
Quitilipi,Quitilipi,"1,545","34,081","32,083",22.05
