Name,College,Party
Arthur Dyke Acland,Christ Church and Keble,
Richard Acland,Balliol,
Jonathan Aitken,Christ Church and Wycliffe Hall,Conservative
Danny Alexander,St Anne 's,Lib Dem
Michael Alison,Wadham,
"Julian Amery , Baron Amery of Lustleigh",Balliol,Conservative
Leopold Stennett Amery,Balliol and All Souls,
"Michael Ancram ( Michael Kerr , 13th Marquess of Lothian )",Christ Church,Conservative
"William Anstruther-Gray , Baron Kilmany",Christ Church,
"Jeffrey Archer , Baron Archer of Weston-super-Mare",Brasenose,Conservative
"Kenneth Baker , Baron Baker of Dorking",Magdalen,Conservative
Nicholas Baker,,Conservative
"Anthony Barber , Baron Barber",Oriel,Conservative
"Timothy Beaumont , Baron Beaumont of Whitley",Christ Church,
Alan Beith,Balliol and Nuffield,Lib Dem
Ronald Bell,Magdalen,
Tony Benn ( formerly 2nd Viscount Stansgate ),New College,Labour
Reginald Bennett,New College,
Keith Best,Keble,
John Biggs-Davison,Magdalen,
