Title,Publisher,Release Date,CERO
Bomberman '94,Hudson Soft / Konami,"December 2 , 2006",A
Dungeon Explorer,Hudson Soft / Konami,"December 2 , 2006",A
Jaseiken Necromancer,Hudson Soft / Konami,"December 2 , 2006",A
PC Genjin : Pithecanthropus Computerurus,Hudson Soft / Konami,"December 2 , 2006",A
Super Star Soldier,Hudson Soft / Konami,"December 2 , 2006",A
Takahashi Meijin no Shin Bōken Jima,Hudson Soft / Konami,"December 2 , 2006",A
Victory Run,Hudson Soft / Konami,"December 2 , 2006",A
R-Type part I ( not available from 2012-03-30 to 2013-09-17 ),"Hudson Soft / Konami , Irem","December 13 , 2006",A
Nectaris,Hudson Soft / Konami,"December 20 , 2006",A
Alien Crush,Hudson Soft / Konami,"January 9 , 2007",A
Moto Roader,Hudson Soft / Konami,"January 16 , 2007",A
R-Type part II ( not available from 2012-03-30 to 2013-09-17 ),"Hudson Soft / Konami , Irem","January 23 , 2007",A
Soldier Blade,Hudson Soft / Konami,"January 30 , 2007",A
Vigilante ( not available from 2012-03-30 to 2013-09-17 ),"Irem , Konami","February 6 , 2007",A
Be Ball,Hudson Soft / Konami,"February 13 , 2007",A
Yokai Dochuki,Namco Bandai Games,"February 20 , 2007",A
Wonder Momo,Namco Bandai Games,"February 27 , 2007",A
Double Dungeons,Hudson Soft / Konami,"March 6 , 2007",A
Fire Pro Wrestling Combination Tag,Spike,"March 13 , 2007",A
Galaga '88,Namco Bandai Games,"March 20 , 2007",A
