Name,Swedish name,Location,Date,Condition
Malmö Castle,Malmöhus slott,Scania,1530,Museum
Mälsåker House,Mälsåkers slott,Södermanland,1660s,Museum
Maltesholm Castle,Maltesholms slott,Scania,1635,Private residence
Månstorp Gables,Månstorps slottsruin,Scania,1547,Ruin
Mariedal Castle,Mariedals slott,Västergötland,1660s,Private residence
Marsvinsholm Castle,Marsvinsholms slott,Scania,1648,Private residence
Mem Castle,Mems slott,Östergötland,15th century,Private residence
Nääs Castle,Nääs slott,Västergötland,1835,Museum
Näs Castle,Näs slott,Småland,12th century,Ruin
Näsby Castle,Näsby slott,Stockholm,14th century,Hotel
Näsbyholm Castle,Näsbyholms slott,Scania,15th century,Private residence
Noor Palace,Nors slott ( traditional spelling : Noor ),Uppland,14th century,Hotel
Nyköping Castle,Nyköpingshus,Södermanland,12th century,Ruin
Nynäs Castle,Nynäs slott,Södermanland,1650s,Museum
Osbyholm Castle,Osbyholms slott,Scania,1405,Private residence
Ovesholm Castle,Ovesholms slott,Scania,1804,Private residence
Pålsjö Castle,Pålsjö slott,Scania,1679,Private residence
Penningby castle,Penningby slott,Uppland,1330s,Museum
