Rank,Country,Team,Time
1,South Africa,Hendrick Ramaala Gert Thys Abner Chipu,3:02:21
2,Kenya,Paul Koech Shem Kororia John Gwako,3:03:07
3,Ethiopia,Ibrahim Seid Alemayehu Girma Addis Abebe,3:05:18
4,Portugal,Luís Jesús Luís Novo Carlos Patrício,3:05:22
5,Spain,Bartolomé Serrano Martín Fiz Javier Cortés,3:05:32
6,Italy,Danilo Goffi Daniele Caimmi Giacomo Leone,3:07:46
7,Brazil,Ronaldo da Costa Valdenor dos Santos André Ramos,3:09:29
8,Japan,Osamu Nara Atsushi Fujita Katsuhiko Hanada,3:09:59
9,France,Mohamed Ouaadi Mohamed Serbouti Jean-Pierre Lautredoux,3:10:35
10,Colombia,José Orlando Sánchez Guerrero Juan Carlos Gutiérrez Carlos Grisales,3:10:37
11,Zimbabwe,Tendai Chimusasa Bigboy Goromonzi Elijah Mutandiro,3:11:03
12,Switzerland,Stéphane Schweickhardt Viktor Röthlin Hansjörg Brücker,3:12:37
13,Tanzania,Wilbroad Axweso Benedict Ako Safari Ingi,3:12:40
14,New Zealand,Richard Potts Jonathan Wyatt Craig Kirkwood,3:13:47
15,Netherlands,Marco Gielen Tekeye Gebrselassie Peter van der Velden,3:14:02
16,Zambia,Stephen Bwalya Sam Mwape Felix Mbuye,3:15:10
17,FR Yugoslavia,Janko Benša Borislav Dević Ramiz Taipi,3:15:43
18,Germany,Oliver Mintzlaff Michael Fietz Steffen Benecke,3:16:28
19,United States,Todd Reeser Gavin Gaynor Eric Morrison,3:16:44
20,Estonia,Pavel Loskutov Toomas Tarm Margus Pirksaar,3:16:52
