Date,Co-Hosts,Guests/Segments
August 1,Kelly Ripa & Josh Groban,"Colin Farrell , Ashley Fink , Science Bob"
August 2,Regis Philbin & Kelly Ripa,"Cory Monteith , Ashley Hebert & J.P. Rosenbaum"
August 3,Regis Philbin & Kelly Ripa,"Alexander Skarsgård , Melissa Joan Hart"
August 4,Regis Philbin & Kelly Ripa,"Bryce Dallas Howard , Caroline Rhea"
August 5,Regis Philbin & Kelly Ripa,"Viola Davis , Kevin McHale , Marcela Valladolid"
August 9,Regis Philbin & Kelly Ripa,"Jane Fonda , Jennifer Farley , Luke Bryan"
August 10,Regis Philbin & Kelly Ripa,"Elijah Wood , Paul DelVecchio"
August 11,Regis Philbin & Kelly Ripa,"Emma Stone , Nicole Polizzi"
August 15,Regis Philbin & Kelly Ripa,"Paul Rudd , Henry Winkler , Dog Days of Summer Week"
August 16,Regis & Joy Philbin,"Joel McHale , Pia Toscano , Dog Days of Summer Week"
August 17,Regis Philbin & Erin Andrews,"Jeff Bridges , So You Think You Can Dance winner , Dog Days of Summer Week"
August 18,Regis Philbin & Cat Deeley,"Anne Hathaway , Nicole Scherzinger , Dog Days of Summer Week"
August 19,Regis Philbin & Jane Krakowski,"Helen Mirren , Dog Days of Summer Week"
