Club,Home city,Stadium,Founded,Seasons in PRSL
CA River Plate Fajardo,Fajardo,Roberto Clemente Stadium,2007,4
Brazilian SA,Arecibo,Poliderpotivo de Arecibo,,1
Criollos de Caguas FC,Caguas,"Villa del Rey , Caguas",2011,2
Gigantes de Carolina FC,Carolina,Roberto Clemente Stadium,1998,4
CF Tornados de Humacao,Humacao,Estadio Nestor Morales,1994,4
Guaynabo Fluminense FC,Guaynabo,Estadio Jose Pepito Bonano,2002,3
Atlético de San Juan,San Juan,Hiram Bithorn Stadium,2008,3
Fajardo FC,Fajardo,Fajardo Soccer Stadium,2010,1
Sevilla FC Juncos,Juncos,Josué Elevadito González Stadium,2006,4
Puerto Rico United SC,Aguada,Aguada Stadium,2007,4
Puerto Rico Islanders,Bayamón,Estadio Juan Ramón Loubriel,2003,1
FC Leones de Ponce,Ponce,Francisco Paquito Montaner,2011,2
