Country,No . of riders,Finishers,Stage wins
Italy,62,51,"5 ( Alessandro Petacchi , Oscar Gatto , Diego Ulissi , Eros Capecchi , Paolo Tiralongo )"
Spain,25,23,"6 ( Ángel Vicioso , Francisco Ventoso , Alberto Contador x2 , Igor Antón , Mikel Nieve )"
Netherlands,11,9,1 ( Pieter Weening )
Belgium,10,9,1 ( Bart De Clercq )
France,10,9,1 ( John Gadret )
United States,8,6,0
Australia,7,3,0
Russia,7,7,0
Switzerland,7,5,0
Germany,6,2,0
Colombia,5,4,0
Great Britain,5,3,"3 ( Mark Cavendish x2 , David Millar )"
Belarus,4,4,1 ( Vasil Kiryienka )
Denmark,4,4,0
Poland,3,3,0
Portugal,3,1,0
Slovenia,3,2,0
Venezuela,3,2,1 ( José Rujano )
Croatia,2,2,0
Czech Republic,2,1,0
