District,Senator,Party,Residence,Eligible for re-election in 2022
1,Stephanie Chang,Dem,Detroit,Yes
2,Adam Hollier,Dem,Detroit,Yes
3,Sylvia Santana,Dem,Detroit,Yes
4,Marshall Bullock,Dem,Detroit,Yes
5,Betty Jean Alexander,Dem,Detroit,Yes
6,Erika Geiss,Dem,Taylor,Yes
7,Dayna Polehanki,Dem,Livonia,Yes
8,Peter Lucido,Rep,Shelby Township,Yes
9,Paul Wojno,Dem,Warren,Yes
10,Michael D. MacDonald,Rep,Sterling Heights,Yes
11,Jeremy Moss,Dem,Southfield,Yes
12,Rosemary Bayer,Dem,Beverly Hills,Yes
13,Mallory McMorrow,Dem,Royal Oak,Yes
14,Ruth Johnson,Rep,Holly,Yes
15,Jim Runestad,Rep,Waterford Township,Yes
16,Mike Shirkey,Rep,Clarklake,No
17,Dale Zorn,Rep,Ida,No
18,Jeff Irwin,Dem,Ann Arbor,Yes
19,John Bizon,Rep,Battle Creek,Yes
20,Sean McCann,Dem,Kalamazoo,Yes
