2010,2009,2008,University,Country
01,01,02,Massachusetts Institute of Technology,US
02,02,01,University of California- Berkeley,US
03,06,05,Tsinghua University,China
04,04,03,National University of Singapore,Singapore
05,05,04,Stanford University,US
06,03,06,Georgia Institute of Technology,US
07,10,14,Nanyang Technological University,Singapore
08,07,08,University of Illinois- Urbana-Champaign,US
09,08,10,University of Michigan- Ann Arbor,US
10,12,11,University of Cambridge,United Kingdom
11,09,07,Pennsylvania State University- University Park,US
12,17,21,Seoul National University,South Korea
13,13,13,Harvard University,US
14,14,12,The University of Tokyo,Japan
15,11,09,Tohoku University,Japan
16,19,15,Imperial College London,United Kingdom
17,18,23,Northwestern University,US
18,15,16,Swiss Federal Institute of Technology- Zurich,Switzerland
19,30,41,National Cheng Kung University,ROC ( Taiwan )
20,24,38,Zhejiang University,China
