Artist,Song Title,UK
ABBA,Chiquitita,Yes
ABBA,Dancing Queen,Yes
ABBA,Does Your Mother Know,Yes
ABBA,Fernando,Yes
ABBA,Gim me ! Gim me ! Gim me ! ( A Man After Midnight ),Yes
ABBA,"I Do , I Do , I Do , I Do , I Do",Yes
ABBA,"Knowing Me , Knowing You",Yes
ABBA,Mamma Mia,Yes
ABBA,"Money , Money , Money",Yes
ABBA,One of Us,Yes
ABBA,Ring Ring,Yes
ABBA,SOS,Yes
ABBA,Summer Night City,Yes
ABBA,Super Trouper,Yes
ABBA,Take a Chance on Me,Yes
ABBA,Thank You for the Music,Yes
ABBA,The Name of The Game,Yes
ABBA,The Winner Takes It All,Yes
ABBA,Voulez-Vous,Yes
ABBA,Waterloo,Yes
