Year,Title,Creator ( s ),Co-production ( s )
2001-06,Alias,J. J. Abrams,Touchstone Television
2004-10,Lost,Jeffrey Lieber J. J. Abrams Damon Lindelof,Touchstone Television ( season 1-3 ) ABC Studios ( season 4-6 )
2005,The Catch,,
2006-07,What About Brian,Dana Stevens,Sachs/Judah Productions ( season 1 ) Touchstone Television
2006-07,Six Degrees,Raven Metzner Stuart Zicherman,Nosebleed Productions Touchstone Television
2008-13,Fringe,J. J. Abrams Alex Kurtzman Roberto Orci,Warner Bros. Television
2009,Anatomy of Hope,,
2010,Undercovers,J. J. Abrams Josh Reims,Warner Bros. Television Good Butter Productions
2011-16,Person of Interest,Jonathan Nolan,Kilter Films Warner Bros. Television
2012,Alcatraz,Elizabeth Sarnoff Steven Lilien Bryan Wynbrandt,Warner Bros. Television
2012,Shelter,,
2012-14,Revolution,Eric Kripke,Kripke Enterprises Warner Bros. Television
2013-14,Almost Human,J. H. Wyman,Frequency Films Warner Bros. Television
2014,Believe,Alfonso Cuarón Mark Friedman,Esperanto Filmoj Warner Bros. Television
2015,Dead People,,
2016,11.22.63,11/22/63 by Stephen King Bridget Carpenter,Carpenter B. Warner Bros. Television
2016,Moon Shot,,
2016,Roadies,Cameron Crowe,Vinyl Films Warner Bros. Television Showtime Networks
2016-,Westworld,Westworld by Michael Crichton Jonathan Nolan Lisa Joy,HBO Entertainment Kilter Films Jerry Weintraub Productions Warner Bros. Television
2018-,Castle Rock,Sam Shaw,Old Curiosity Shop Darkbloom Productions Warner Bros. Television
