Year,Competition,Venue,Position,Event,Notes
2018,USA Indoor Track and Field Championships,"Albuquerque Convention Center Albuquerque , New Mexico",1st,Triple jump,17.28 m ( 56 ft 8 ⁄ 4 in )
2017,USA Outdoor Track and Field Championships,"Sacramento , California",1st,Triple jump,17.91 m ( 58 ft 9 in )
2016,USA Olympic Trials,"Eugene , Oregon",3rd,Long jump,8.42 m ( 27 ft 7 ⁄ 4 in )
2016,USA Olympic Trials,"Eugene , Oregon",1st,Triple jump,17.65 m ( 57 ft 10 ⁄ 4 in )
2015,USA Outdoor Track and Field Championships,"Eugene , Oregon",2nd,Triple jump,17.48 m ( 57 ft 4 in )
2015,USA Indoor Track and Field Championships,"Reggie Lewis Center Boston , MA",DNS,Triple jump,DNS
2014,USA Outdoor Track and Field Championships,"Hornet Stadium ( Sacramento ) Sacramento , California",1st,Triple jump,17.75 m ( 58 ft 2 ⁄ 4 in )
2014,USA Indoor Track and Field Championships,"Albuquerque Convention Center Albuquerque , New Mexico",5th,Long jump,7.83 m ( 25 ft 8 ⁄ 4 in )
2013,USA Outdoor Track and Field Championships,"Drake Stadium , Des Moines , Iowa",7th,Long jump,8.05 m ( 26 ft 4 ⁄ 4 in )
2013,USA Outdoor Track and Field Championships,"Drake Stadium , Des Moines , Iowa",2nd,Triple jump,17.04 m ( 55 ft 10 ⁄ 4 in )
2012,USA Track and Field Olympic Trials,"Hayward Field Eugene , Oregon",2nd,Triple jump,17.55 m ( 57 ft 6 ⁄ 4 in )
2012,USA Track and Field Olympic Trials,"Hayward Field Eugene , Oregon",2nd,Long jump,8.23 m ( 27 ft 0 in )
2012,USA Indoor Track and Field Championships,"Albuquerque Convention Center Albuquerque , New Mexico",1st,Triple jump,17.63 m ( 57 ft 10 in )
2012,USA Indoor Track and Field Championships,"Albuquerque Convention Center Albuquerque , New Mexico",1st,Long jump,8.02 m ( 26 ft 3 ⁄ 2 in )
2011,USA Outdoor Track and Field Championships,"Hayward Field , Eugene , Oregon",2nd,Triple jump,17.09 m ( 56 ft ⁄ 4 in )
2011,USA Outdoor Track and Field Championships,"Hayward Field , Eugene , Oregon",2nd,Long jump,8.19 m ( 26 ft 10 ⁄ 4 in )
2009,USA Junior Outdoor Track and Field Championships,"Hayward Field , Eugene , Oregon",2nd,Long jump,7.80 m ( 25 ft 7 in )
2009,USA Junior Outdoor Track and Field Championships,"Hayward Field , Eugene , Oregon",1st,Triple jump,17.14 m ( 56 ft 2 ⁄ 4 in )
2008,USA Junior Outdoor Track and Field Championships,"Jesse Owens Memorial Stadium , Columbus , Ohio",DNS,Triple jump,DNS
2008,USA Junior Outdoor Track and Field Championships,"Jesse Owens Memorial Stadium , Columbus , Ohio",DNS,Long jump,DNS
