Rank,Mark,Athlete,Date,Place
1,104.80,Uwe Hohn ( GDR ),21 July 1984,Berlin
2,99.72,Tom Petranoff ( USA ),15 May 1983,Westwood
3=,96.72,Ferenc Paragi ( HUN ),23 April 1980,Tata
3=,96.72,Detlef Michel ( GER ),9 June 1983,Berlin
5,95.80,Bob Roggy ( USA ),29 August 1982,Stuttgart
6,95.10,Brian Crouser ( USA ),5 August 1985,Eugene
7,94.58,Miklós Németh ( HUN ),26 July 1976,Montreal
8,94.22,Michael Wessing ( FRG ),3 August 1978,Oslo
9,94.20,Heino Puuste ( EST ),5 June 1983,Birmingham
10,94.08,Klaus Wolfermann ( FRG ),5 May 1973,Leverkusen
11,94.06,Duncan Atwood ( USA ),26 July 1985,Eugene
12,93.90,Hannu Siitonen ( FIN ),6 June 1973,Helsinki
13,93.84,Pentti Sinersaari ( FIN ),27 January 1979,Auckland
14,93.80,Jānis Lūsis ( LAT ),6 July 1972,Stockholm
15,93.70,Viktor Yevsyukov ( KAZ ),17 July 1985,Kiev
