Venue,County,Province,First,Last,Times
Pormarnock,Dublin,Leinster,1927,2003,19
Royal County Down,Down,Ulster,1928,2015,4
Royal Portrush,Antrim,Ulster,1930,2012,4
Royal Dublin,Dublin,Leinster,1931,1985,6
Cork,Cork,Munster,1932,1932,1
Malone,Antrim,Ulster,1933,1933,1
Belvoir Park,Antrim,Ulster,1949,1953,2
Woodbrook,Wicklow,Leinster,1975,1975,1
Killarney,Kerry,Munster,1991,2011,4
Mount Juliet,Kilkenny,Leinster,1993,2020,4
Druids Glen,Wicklow,Leinster,1996,1999,4
Ballybunion,Kerry,Munster,2000,2000,1
Fota Island Resort,Cork,Munster,2001,2014,3
County Louth,Louth,Leinster,2004,2009,2
Carton House,Kildare,Leinster,2005,2013,3
Adare Manor,Limerick,Munster,2007,2008,2
The K Club,Kildare,Leinster,2016,2016,1
Portstewart,Londonderry,Ulster,2017,2017,1
Ballyliffin,Donegal,Ulster,2018,2018,1
Lahinch,Clare,Munster,2019,2019,1
