System,Locale,Major city ( s )
Bee-Line Bus System,Westchester County,White Plains
Broome County Transit,Broome County,Binghamton
Capital District Transportation Authority,Capital District,Albany
Chautauqua CARTS,Chautauqua County,"Jamestown , Dunkirk , Fredonia"
Centro,"Onondaga , Oswego , Cayuga , and Oneida counties",Syracuse
City of Poughkeepsie Transit,Poughkeepsie,Poughkeepsie
Clarkstown Mini-Trans,Clarkstown,Clarkstown
Dutchess LOOP,Dutchess County,Poughkeepsie
Huntington Area Rapid Transit,Huntington,Huntington
Long Beach Bus,Long Beach,Long Beach
MTA Bus Company,New York City,New York City
Nassau Inter-County Express,Nassau County,
New York City Transit,New York City,New York City
NFTA Metro,Erie and Niagara counties,Buffalo
Kingston Citibus,Kingston,Kingston
Putnam Transit,Putnam County,Brewster
Red Bus,Roosevelt Island,Roosevelt Island
Regional Transit Service,"Monroe , Genesee , Livingston , Orleans , Wayne , Wyoming and Seneca counties",Rochester
St. Lawrence County Commuter,St. Lawrence County,Canton
Suffolk County Transit,Suffolk County,
