Rank,Name,Nation,Total points,SP,FS
1,Sonia Lafuente,Spain,144.95,1,1
2,Kako Tomotaki,Japan,137.57,5,2
3,Patricija Gleščič,Slovenia,129.92,3,3
4,Daša Grm,Slovenia,125.10,4,4
5,Victoria Muniz,Puerto Rico,122.71,2,8
6,Carol Bressanutti,Italy,119.60,8,5
7,Anne Line Gjersem,Norway,119.50,6,7
8,Constanze Paulinus,Germany,114.26,12,6
9,Alexandra Kunova,Slovakia,111.93,9,10
10,Fleur Maxwell,Luxembourg,110.92,7,12
11,Viktória Pavuk,Hungary,104.69,16,9
12,Hristina Vassileva,Bulgaria,103.67,13,11
13,Kerstin Frank,Austria,102.44,11,14
14,Maria Artemieva,Russia,99.44,10,16
15,Katherine Hadford,Hungary,95.82,14,15
16,Isabelle Pieman,Belgium,91.02,23,13
17,Nika Ceric,Slovenia,90.74,15,18
18,Georgia Glastris,Greece,88.67,19,17
19,Jassica Kurzawski,Australia,87.04,18,19
20,Bianka Padar,Hungary,83.98,17,21
