Monogram,Town,State
DAYTONA BEACH LPGA BLVD,Daytona Beach,Florida
PALM BAY,Palm Bay,Florida
L,Lahaina,Hawaii
KS,Manhattan,Kansas
MANHATTAN,Manhattan,Kansas
OP,Ocean Pines,Maryland
C,Chadron,Nebraska
POTTER,Potter,Nebraska
C,New York City ( Manhattan ),New York
HOWE CAVERNS,Cobleskill,New York
M ( uncertain existence ),Poughkeepsie,New York
A,Alexander,North Dakota
HOME ON THE RANGE,Beach,North Dakota
K ( uncertain existence ),Kenmare,North Dakota
MANDAN,Mandan,North Dakota
PRICE,Price,North Dakota
Z,Zap,North Dakota
LAZY S RANCH,Springer,Oklahoma
WELCOME TO HERSHEY,Hershey,Pennsylvania
H,Spearfish,South Dakota
