No,State Forest,Location,Area ( acres )
1,Aguirre,Guayama and Santa Isabel,2390
2,Boquerón,Cabo Rojo and Lajas,"4,630"
3,Cambalache,Arecibo and Barceloneta,"1,019"
4,Carite,Guayama and Patillas,"6,499"
5,Ceiba,Ceiba and Fajardo,352
6,Cerrillos,Ponce,194
7,Guajataca,Isabela,"2,286"
8,Guánica,"Guánica , Guayanilla , Yauco , Peñuelas and Ponce","10,670"
9,Guilarte,"Adjuntas , Peñuelas and Yauco","4,816"
10,Los Tres Picachos,Ciales and Jayuya,"2,289"
11,Maricao,Maricao,"10,478"
12,Monte Choca,Corozal,238
13,Piñones,Carolina and Loiza,"1,515"
14,Pueblo,Adjuntas,737
15,Rio Abajo,Arecibo and Utuado,"5,607"
16,San Patricio,Guaynabo,68
17,Susúa,Sabana Grande and Yauco,"3,241"
18,Toro Negro,"Ponce , Jayuya , Orocovis , Ciales , and Juana Diaz","7,968"
19,Urbano del Nuevo Milenio,San Juan,388
20,Vega,Vega Alta and Vega Baja,"1,150"
