Name,Title,Reign,Born,Note
Albert II,King of the Belgians,1993-2013,( 1934-06-06 ) 6 June 1934 ( age 85 ),Abdicated
Jigme Singye Wangchuck,King of Bhutan,1972-2006,( 1955-11-11 ) 11 November 1955 ( age 64 ),Abdicated
Simeon II,Tsar of the Bulgarians,1943-1946,( 1937-06-16 ) 16 June 1937 ( age 82 ),Monarchy abolished
Fuad II,King of Egypt and the Sudan,1952-1953,( 1952-01-16 ) 16 January 1952 ( age 68 ),Monarchy abolished
Constantine II,King of the Hellenes,1964-1973,( 1940-06-02 ) 2 June 1940 ( age 79 ),Monarchy abolished
Akihito,Emperor of Japan,1989-2019,( 1933-12-23 ) 23 December 1933 ( age 86 ),Abdicated
Gyanendra,King of Nepal,1950-1951 and 2001-2008,( 1947-07-07 ) 7 July 1947 ( age 72 ),Monarchy abolished
Beatrix,Queen of the Netherlands,1980-2013,( 1938-01-31 ) 31 January 1938 ( age 82 ),Abdicated
Juan Carlos I,King of Spain,1975-2014,( 1938-01-05 ) 5 January 1938 ( age 82 ),Abdicated
Hamad bin Khalifa Al Thani,Emir of Qatar,1995-2013,( 1952-01-01 ) 1 January 1952 ( age 68 ),Abdicated
Benedict XVI,Sovereign of the Vatican City State,2005-2013,( 1927-04-16 ) 16 April 1927 ( age 92 ),Resigned
Jamshid bin Abdullah,Sultan of Zanzibar,1963-1964,( 1929-09-16 ) 16 September 1929 ( age 90 ),Monarchy abolished
