Spoofed Title,Actual Title,Writer,Artist,Issue,Date
The Ghost and the Mrs . Misses,The Ghost & Mrs. Muir ( September 1968-March 1970 ) ( Genre : Sitcom ) ( Broadcaster : NBC & ABC ),Dick DeBartolo,Mort Drucker,134,April 1970
Then Came Bombsome,Then Came Bronson ( September 1969-April 1970 ) ( Genre : Adventure ) ( Broadcaster : NBC ),Dick DeBartolo,Angelo Torres,135,June 1970
Room 222ZZZZZZzzzzzzzzz,Room 222 ( September 1969-January 1974 ) ( Genre : Comedy-drama ) ( Broadcaster : ABC ),Stan Hart,Angelo Torres,136,July 1970
Makeus Sickby M.D,"Marcus Welby , M.D . ( September 1969-July 1976 ) ( Genre : Medical drama ) ( Broadcaster : ABC )",Dick DeBartolo,Angelo Torres,137,September 1970
Ironride,Ironside ( September 1967-January 1975 ) ( Genre : Crime drama ) ( Broadcaster : NBC ),Lou Silverstone,Angelo Torres,139,December 1970
The Doris Daze Show,The Doris Day Show ( September 1968-March 1973 ) ( Genre : Sitcom ) ( Broadcaster : CBS ),Stan Hart,Angelo Torres,140,January 1971
How-Are-Ya-Five-O ?,Hawaii Five-O ( September 1968-April 1980 ) ( Genre : Police drama ) ( Broadcaster : CBS ),Dick DeBartolo,Angelo Torres,141,March 1971
My Three Sonny Boys,My Three Sons ( September 1960-August 1972 ) ( Genre : Sitcom ) ( Broadcaster : ABC & CBS ),Arnie Kogen,Angelo Torres,142,April 1971
The Game is Inane,The Name of the Game ( September 1968-March 1971 ) ( Genre : Mystery drama ) ( Broadcaster : NBC ),Lou Silverstone,Angelo Torres,143,June 1971
The F.I.B,The F.B.I . ( September 1965-April 1974 ) ( Genre : Police drama ) ( Broadcaster : ABC ),Dick DeBartolo,Angelo Torres,144,July 1971
Reality Street,Sesame Street ( Since November 1969 ) ( Genre : Puppetry ) ( Broadcaster : PBS ),Dick DeBartolo,Jack Davis,146,October 1971
Gall in the Family Fare,All in the Family ( January 1971-April 1979 ) ( Genre : Sitcom ) ( Broadcaster : CBS ),Larry Siegel,Angelo Torres,147,December 1971
Storefront Broadcasters,Storefront Lawyers ( September 1970 - January 1971 ) ( Genre : Legal drama ) ( Broadcaster : CBS ),Tom Koch,Angelo Torres,149,March 1972
Messy 's Thanksgiving Day Parade,Macy 's Thanksgiving Day Parade ( Since November 1948 ) ( Genre : Special event ) ( Broadcaster : NBC ),Dick DeBartolo,Angelo Torres,148,January 1972
The Putrid Family,The Partridge Family ( September 1970-March 1974 ) ( Genre : Sitcom ) ( Broadcaster : ABC ),Arnie Kogen,Angelo Torres,150,April 1972
Miracle Center,Medical Center ( September 1969-March 1976 ) ( Genre : Medical drama ) ( Broadcaster : CBS ),Dick DeBartolo,Angelo Torres,151,June 1972
Manic,Mannix ( September 1967-April 1975 ) ( Genre : Crime drama ) ( Broadcaster : CBS ),Lou Silverstone,Angelo Torres,152,July 1972
Longshot,Longstreet ( September 1971-March 1972 ) ( Genre : Crime drama ) ( Broadcaster : ABC ),Stan Hart,Angelo Torres,153,September 1972
The Mary Tailor-Made Show,The Mary Tyler Moore Show ( September 1970-March 1977 ) ( Genre : Sitcom ) ( Broadcaster : CBS ),Tom Koch,Angelo Torres,155,December 1972
Clodumbo,Columbo ( September 1971-May 1978 ) ( Genre : Crime drama ) ( Broadcaster : NBC ),Lou Silverstone,Angelo Torres,156,January 1973
