Church,Dates,"City , State"
"First Baptist Church ( Amarillo , Texas )",built NRHP-listed,"Amarillo , Texas"
"University Baptist Church ( Austin , Texas )",built NRHP-listed,"Austin , Texas"
"Macedonia Baptist Church ( Cuero , Texas )",1890 built 1988 NRHP-listed,"Cuero , Texas"
Saint James Second Street Baptist Church,1913 built 1999 NRHP-listed,"Fort Worth , Texas"
Tabernacle Baptist Church,built NRHP-listed,"Fort Worth , Texas"
Antioch Missionary Baptist Church,1875 built 1976 NRHP-listed,"Houston , Texas"
"Bethel Baptist Church ( Houston , Texas )",built NRHP-listed,"Houston , Texas"
St. Paul 's Baptist Church,built NRHP-listed,"Paris , Texas"
Prospect Hill Missionary Baptist Church,built NRHP-listed,"San Antonio , Texas"
"First Baptist Church ( Stamford , Texas )",built NRHP-listed,"Stamford , Texas"
Harmony Hill Baptist Church,Founded 1913,"Lufkin , Texas"
