Mountain / hill,Height ( m ),Landscape,Lists,District ( s ) ( or states ) free towns
Langenberg,843.2,Rothaar,List,Hochsauerland ( North Rhine-Westphalia ) Waldeck-Frankenberg Hesse
Weißer Stein,693,Eifel ( Zitterwald ),List List,Euskirchen
Himberg,688.5,Saalhauser Berge,List,"Hochsauerland , Olpe"
Borberg,670.2,Brilon Heights,List,Hochsauerland
Nordhelle Ebbegebirge,663.3,Ebbegebirge,List,Märkischer Kreis
Steling,658.3,Rur Eifel Part of the Eifel,-- - List,Städteregion Aachen
Homert Lennegebirge,656.1,Lennegebirge,List,Hochsauerland
Nenkersberg,610.3,Westerwald,List,Siegen-Wittgenstein
Michelsberg,586.1,Ahr Hills Part of the Eifel,List List,Euskirchen
Langschoß,585.2,Hürtgen Forest Part of the Eifel,-- - List,Städteregion Aachen
unnamed summit,581.5,Arnsberg Forest,List,Soest
unnamed summit,527.8,Kermeter Part of the Eifel,List List,Euskirchen
Homert Oberbergischer Kreis,519.0,Bergisches Land,-- -,Oberbergischer Kreis
Köterberg,495.8,Weser Uplands,List,"Kreis Lippe ( North Rhine-Westphalia ) , Kreis Höxter ( North Rhine-Westphalia ) Holzminden ( Lower Saxony )"
Preußischer Velmerstot,468,Eggegebirge,List,Kreis Paderborn
Großer Ölberg,460.1,Siebengebirge,List,Rhein-Sieg
Karpkeberg,456.2,Sintfeld,List,Hochsauerland
Barnacken,446.1,Teutoburg Forest,List,Lippe
Wengeberg,441.0,Ruhrgebiet,-- -,Ennepe-Ruhr
Spitze Warte,390.6,Haarstrang,-- -,Soest
