Name,Location,Type,Main occupant
Estadio Akron,Guadalajara,Football stadium,Guadalajara
Estadio Azul,Mexico City,Football stadium,Cruz Azul
Estadio Banorte,Culiacán,Football stadium,Dorados de Sinaloa
Estadio Caliente,Tijuana,Football stadium,Tijuana
Estadio de Beisbol Calimax,Tijuana,Baseball park,Tijuana Potros
Estadio Casas GEO,Mexicali,Baseball park,Águilas de Mexicali
Estadio Corona,Torreón,Football stadium,Santos Laguna
Estadio Cuauhtémoc,Puebla,Football stadium,Puebla
Estadio Victoria,Aguascalientes,Football stadium,Necaxa
Foro Sol,Mexico City,Baseball park,Diablos Rojos del México
