Team,Location,Stadium,Stadium capacity
Assyriska FF,Södertälje,Södertälje Fotbollsarena,"7,500"
Degerfors IF,Degerfors,Stora Valla,"12,500"
Falkenbergs FF,Falkenberg,Falkenbergs IP,"6,000"
GIF Sundsvall,Sundsvall,Norrporten Arena,"8,000"
Hammarby IF,Stockholm,Söderstadion,"15,600"
IF Brommapojkarna,Stockholm,Grimsta IP,"8,000"
IFK Värnamo,Värnamo,Finnvedsvallen,"5,000"
IK Brage,Borlänge,Domnarvsvallen,"5,500"
Jönköpings Södra IF,Jönköping,Stadsparksvallen,"5,200"
Landskrona BoIS,Landskrona,Landskrona IP,"12,000"
Ljungskile SK,Ljungskile,Starke Arvid Arena,"8,000"
Qviding FIF,Gothenburg,Valhalla IP,"4,000"
Västerås SK,Västerås,Swedbank Park,"7,000"
Åtvidabergs FF,Åtvidaberg,Kopparvallen,"8,000"
Ängelholms FF,Ängelholm,Ängelholms IP,"5,000"
Östers IF,Växjö,Värendsvallen,"13,000"
