Position,Player,To club,Fee
Manager,Irfan Bakti Abu Salim,Felda United,align=right| 0
GK,Mohd Sharbinee Allawee Ramli,Terengganu,align=right| 0
GK,Norazlan Razali,Johor Darul Takzim,align=right| 0
GK,Damien Lim Chien Khai,Harimau Muda A,align=right| 0
GK,Izzat Abdul Rahim,Putrajaya SPA F.C,align=right| 0
GK,Mohd Aniis Ismail,Felda United F.C,align=right| 0
GK,Mohd Faiz Abdul Khalid,ATM FA,align=right| 0
DR,Mahali Jasuli,Johor Darul Takzim,align=right| 0
DL,Mohd Asraruddin Putra Omar,Johor Darul Takzim,align=right| 0
DC,Adam Griffith,Kedah,align=right| 0
DC,Mohd Fairuz Abdul Aziz,Sime Darby,align=right| 0
DC,Mohd Nasriq Baharom,Felda United F.C,align=right| 0
DR,Mohd Rafiq Shah Zaim,Sime Darby F.C,align=right| 0
DL,Zain Azraai Sulaiman,PDRM FA,align=right| 0
DC,Muhd Farid Azmi,Felda United F.C,align=right| 0
DC,J. Arvind,ATM FA,align=right| 0
DRC,Khishan Raj a/l Mohana Raj,ATM FA,align=right| 0
DR,Mohd Faizul Asraf Mahadi,Released,align=right| 0
DC,Mohamad Nurfitah Md Shah,Johor Darul Takzim II F.C,align=right| 0
DL,Zaiful Abdul Hakim,PKNS F.C,align=right| 0
