Date,Name,Moving from,Moving to,Fee
"May 1 , 2012",Julien Gorius,Mechelen,Genk,Undisclosed
"May 2 , 2012",Kevin Geudens,Mechelen,Westerlo,Free
"May 2 , 2012",Jonas Heymans,Wetteren,Lierse,Undisclosed
"May 2 , 2012",Yves Ma-Kalambay,Mechelen,Free Agent,Released
"May 3 , 2012",Jan Masureel,Waasland-Beveren,Deinze,Free
"May 8 , 2012",Tom Pietermaat,Mechelen,Eendracht Aalst,Loan
"May 10 , 2012",Simon Vermeiren,OH Leuven,Heist,Free
"May 11 , 2012",Sébastien Bruzzese,Gent,Zulte Waregem,Undisclosed
"May 14 , 2012",Bahattin Köse,Arminia Bielefeld,Mons,Undisclosed
"May 14 , 2012",Christopher Verbist,Standard Liège,OH Leuven,Undisclosed
"May 15 , 2012",Koenraad Hendrickx,Gent,Cercle Brugge,Undisclosed
"May 16 , 2012",Tomislav Pačovski,Beerschot,Mechelen,Undisclosed
"May 17 , 2012",Kévin Dupuis,Châteauroux,Kortrijk,Free
"May 22 , 2012",Kostadin Hazurov,Bnei Sakhnin,Lierse,Undisclosed
"May 22 , 2012",Davy Schollen,Anderlecht,Sint-Truiden,Free
"May 22 , 2012",Koen Vanlangendonck,Bocholt,Beerschot,Undisclosed
"May 23 , 2012",Wouter Corstjens,Westerlo,Gent,Undisclosed
"May 24 , 2012",Rodgers Kola,Ashdod,Gent,Undisclosed
"May 24 , 2012",Nicolas Lemaire,Mons,Lokeren,Undisclosed
"May 24 , 2012",Gilles Lentz,Genk,Roeselare,Free
