Season,Premiers,Runners-Up
2005-06,Adelaide United,Sydney FC
2006-07,Melbourne Victory,Adelaide United
2007-08,Central Coast Mariners,Newcastle Jets
2008-09,Melbourne Victory ( 2 ),Adelaide United
2009-10,Sydney FC,Melbourne Victory
2010-11,Brisbane Roar,Central Coast Mariners
2011-12,Central Coast Mariners ( 2 ),Brisbane Roar
2012-13,Western Sydney Wanderers,Central Coast Mariners
2013-14,Brisbane Roar ( 2 ),Western Sydney Wanderers
2014-15,Melbourne Victory ( 3 ),Sydney FC
2015-16,Adelaide United ( 2 ),Western Sydney Wanderers
2016-17,Sydney FC ( 2 ),Melbourne Victory
2017-18,Sydney FC ( 3 ),Newcastle Jets
2018-19,Perth Glory,Sydney FC
