Sr. No,Name of the JV,Location,State,Inst . capacity in megawatts
1,NSPCL . Joint venture with SAIL,Durgapur,West Bengal,120
2,NSPCL . Joint venture with SAIL,Rourkela,Odisha,120
3,NSPCL . Joint venture with SAIL,Bhilai,Chhattisgarh,574
4,NPGC . Joint venture with Bihar State Electricity Board,Aurangabad,Bihar,4380
5,Muzaffarpur Thermal Power Station ( MTPS ) . Joint venture with Bihar State Electricity Board,Kanti,Bihar,610
6,BRBCL Joint venture with Indian Railways,Nabinagar,Bihar,1000
7,Aravali Power CPL JV with HPGCL & IPGCL,Jhajjar,Haryana,1500
8,NTECL JV with NTPC & TNEB,Chennai,Tamil Nadu,1500
9,Meja Thermal Power Station JV with NTPC & UPRVUNL,Allahabad,Uttar Pradesh,1320
10,PUVNL ( Patratu ) Joint venture with Jharkhand State Electricity Board,Patratu,Jharkhand,4000
