Name,Location,Length in km ( mi ),Year Completed,Line
Gotthard Base Tunnel,Switzerland ( Alps ),57.1 km ( 35.5 mi ),2016,Gotthardbahn Luzern / Zürich - Milan
Seikan Tunnel,Japan ( Tsugaru Strait ),53.9 ( 33.5 ),1988,Kaikyo Line ( Hokkaidō Shinkansen )
Channel Tunnel,France/United Kingdom ( English Channel ),50.5 ( 31.3 ),1994,Channel Tunnel
Yulhyeon Tunnel,South Korea ( Gyeonggi ),50.3 km ( 31.3 mi ),2016,Suseo High Speed Railway
Songshan Lake Tunnel,China ( Dongguan ),35.391 km ( 22.0 mi ),2016,Dongguan-Huizhou Intercity Railway
Lötschberg Base Tunnel,Switzerland ( Bernese Alps ),34.5 ( 21.4 ),2007,Lötschbergbahn Brig - Thun ( - Bern - Basel )
New Guanjiao Tunnel,China ( Qinghai ),"32.645 km ( 20.3 mi ) , 2 tubes",2014,Qinghai-Tibet Railway
Guadarrama Tunnel,Spain ( Sierra de Guadarrama ),28.4 km ( 17.6 mi ),2007,LAV Madrid - Valladolid
West Qinling Tunnel,China ( Gansu ),"28.236 km ( 17.5 mi ) & 28.236 km ( 17.5 mi ) , 2 tubes",2016,Qinghai-Tibet Railway
Taihang Tunnel,China ( Shanxi ),"27.848 km ( 17.304 mi ) & 27.839 km ( 17.298 mi ) , 2 tubes",2007,Shijiazhuang-Taiyuan High-Speed Railway
Hakkōda Tunnel,Japan ( Hakkōda Mountains ),26.5 km ( 16.5 mi ),2010,Tōhoku Shinkansen
XRL,"Hong Kong ( New Territories , New Kowloon and Kowloon )",26 km ( 16 mi ),2018,Guangzhou-Shenzhen-Hong Kong Express Rail Link Hong Kong Section ( A further 4 km on the opposite side of the Hong Kong-China border . )
Iwate-Ichinohe Tunnel,Japan ( Ōu Mountains ),25.8 ( 16.0 ),2002,Tōhoku Shinkansen
Lainzer/Wienerwaldtunnel,Austria ( Vienna ),23.844 km ( 14.816 mi ),2012,West railway
South Lüliangshan Tunnel [ zh ],China ( Shanxi ),"23.470 km ( 14.6 mi ) & 23.440 km ( 14.6 mi ) , 2 tubes",2014,Watang-Rizhao Railway
