Original NFL team,Player,Pos,College,Conf
Chicago Bears,Tom Waddle,WR,Boston College,Ind
Cincinnati Bengals,Ken Moyer,G,Toledo,MAC
Dallas Cowboys,Kenny Tippins,LB,Middle Tennessee,Ohio Valley
Denver Broncos,David Treadwell,K,Clemson,ACC
Detroit Lions,James Dixon,WR,Houston,SWC
Houston Oilers,Steve Avery,FB,Northern Michigan,GLIAC
Houston Oilers,Erik Norgard,C,Colorado,Big Eight
Indianapolis Colts,Anthony Parker,CB,Arizona State,Pac-10
Pittsburgh Steelers,Tracy Simien,LB,TCU,SWC
New Orleans Saints,Jason Garrett,QB,Princeton,Ivy
New Orleans Saints,Bennie Thompson,S,Grambling State,SWAC
New York Giants,Björn Nittmo,K,Appalachian State,SoCon
Philadelphia Eagles,Rick Tuten,P,Florida State,Ind
