Name,State,Position,Born,Assumed office,Age
Jean-Claude Duvalier,Haiti,President,1951,1971,19
Valentine Strasser,Sierra Leone,President,1967,1992,25
Michel Micombero,Burundi,Prime Minister,1940,1966,25
Dogsomyn Bodoo,Mongolia,Prime Minister,1895,1921,26
Maria Lea Pedini-Angelini,San Marino,Captain Regent,1954,1981,26
Ahmet Zogu,Albania,Prime Minister,1895,1922,27
Muammar Gaddafi,Libya,Leader of the Revolution,1942,1969,27
Gloriana Ranocchini,San Marino,Captain Regent,1957,1984,27
Giovanni Lonfernini,San Marino,Captain Regent,1976,2003,27
Abdessalam Jalloud,Libya,Prime Minister,1944,1972,27
Andrea Zafferani,San Marino,Captain Regent,1982,2010,27
Matteo Ciacci,San Marino,Captain Regent,1990,2018,27
Sheikh Maktoum bin Rashid Al Maktoum,United Arab Emirates,Prime Minister,1943,1971,28
Vanessa D'Ambrosio,San Marino,Captain Regent,1988,2017,28
Mario Frick,Liechtenstein,Prime Minister,1965,1993,28
Kim Jong-un,North Korea,Supreme Leader,1983,2011,28
Giuliano Gozi,San Marino,Captain Regent,1894,1923,28
Ieremia Tabai,Kiribati,President,1950,1979,28
Samuel Doe,Liberia,President,1951,1980,28
Jamtsangiin Damdinsüren,Mongolia,Chairman of the Presidium,1898,1927,29
