City and/or Island,Province,ICAO,IATA,Airport name
Anatom ( Aneityum ) / Inyeug,Tafea,NVVA,AUY,Anatom Airport ( Aneityum Airport )
Aniwa,Tafea,NVVB,AWD,Aniwa Airport
"Craig Cove , Ambrym",Malampa,NVSF,CCV,Craig Cove Airport
"Dillon 's Bay , Erromango",Tafea,NVVD,DLY,Dillon 's Bay Airport
"Sangafa , Emae , Shepherd Islands",Shefa,NVSE,EAE,Siwo Airport
Futuna,Tafea,NVVF,FTA,Futuna Airport
"Gaua , Banks Islands",Torba,NVSQ,ZGU,Gaua Airport
"Ipota , Erromango",Tafea,NVVI,IPA,Ipota Airport
"Lamap , Malekula",Malampa,NVSL,LPM,Malekula Airport ( Lamap Airport )
"Lamen Bay , Epi",Shefa,NVSM,LNB,Lamen Bay Airport
"Longana , Ambae",Penama,NVSG,LOD,Longana Airport
"Lonorore , Pentecost",Penama,NVSO,LNE,Lonorore Airport
"Luganville , Espiritu Santo",Sanma,NVSS,SON,Santo-Pekoa International Airport
Maewo,Penama,NVSN,MWF,Maewo-Naone Airport
"Mota Lava , Banks Islands",Torba,NVSA,MTV,Mota Lava Airport
"Norsup , Malekoula",Malampa,NVSP,NUS,Norsup Airport
"Olpoi , Espiritu Santo",Sanma,NVSZ,OLJ,Olpoi Airport
"Tavie , Paama",Malampa,NVSI,PBJ,Paama Airport
"Port Vila , Efate",Shefa,NVVV,VLI,Bauerfield International Airport
"Quoin Hill , Efate",Shefa,NVVQ,UIQ,Quoin Hill Airport
