Season,Event type,Location,Format,Date,Rank
1998-99,Grand Prix,Birmingham,Block Constructed,17-18 October 1998,2
1998-99,Grand Prix,Barcelona,Limited,6-7 February 1999,1
1998-99,Grand Prix,Vienna,Extended,13-14 March 1999,1
1998-99,Grand Prix,Amsterdam,Limited,15-16 May 1999,1
1998-99,Worlds,Tokyo,Standard,4-8 August 1999,1
1999-00,Invitational,Kuala Lumpur,Special,2-5 March 2000,6
2000-01,Grand Prix,Florence,Extended,25-26 November 2000,3
2000-01,Pro Tour,Chicago,Standard,1-3 December 2000,1
2000-01,Pro Tour,Barcelona,Limited,4-6 May 2001,1
2001-02,Grand Prix,London,Block Constructed,1-2 September 2001,1
2001-02,Pro Tour,New York,Team Limited,7-9 September 2001,1
2001-02,Invitational,Cape Town,Special,5-7 October 2001,1
2001-02,Pro Tour,New Orleans,Extended,9-11 November 2001,1
2001-02,Grand Prix,Biarritz,Limited,24-25 November 2001,2
2001-02,Grand Prix,Lisbon,Extended,19-20 January 2002,1
2001-02,Grand Prix,Antwerp,Limited,2-3 March 2002,1
2001-02,Masters,Osaka,Team Limited,14-17 March 2002,1
2001-02,Grand Prix,Naples,Limited,6-7 April 2002,3
2001-02,Pro Tour,Nice,Limited,3-5 May 2002,5
2001-02,Nationals,Germany,Special,10-12 May 2002,1
