Title,Release date,Original game publisher
Tengai Makyō Jiraia Oboro Hen,"August 21 , 1990",Hudson Soft /Red Entertainment
Ninja Gaiden,"November 22 , 1991",Tecmo
Mortal Kombat : The Journey Begins,"April 11 , 1995",Midway
Battle Arena Toshinden,1996,Sony
Sonic the Hedgehog,"May 31 , 1996",Sega
Voltage Fighters : Gowcaizer the Movie,1997,SNK
Tekken : The Motion Picture,"January 21 , 1998",Namco
Samurai Spirits 2 : Asura Zanmaden,"December 22 , 1999",SNK
Street Fighter Alpha : The Movie,"April 26 , 2000",Capcom
Sin : The Movie,"October 24 , 2000",Ritual
Zone of the Enders : 2167 Idolo,"March 1 , 2001",Konami
Nakoruru ~Ano hito kara no okurimono~,"May 25 , 2002",SNK
Welcome to Pia Carrot - Sayakas Love Story,"October 19 , 2002",Cocktail Soft
Galerians : Rion,"April 24 , 2004",ASCII
Final Fantasy VII : Advent Children,"September 14 , 2005",Square Enix
Last Order : Final Fantasy VII,"September 14 , 2005",Square Enix
Street Fighter Alpha : Generations,"October 25 , 2005",Capcom
Dead Space : Downfall,"October 17 , 2008",Electronic Arts
Street Fighter IV : The Ties That Bind,"July 12 , 2009",Capcom
Dantes Inferno : An Animated Epic,"February 9 , 2010",Electronic Arts
