Year,Title,Role,Notes
2007,Scrubs,Devin,Episode : My Turf War
2007,Cold Case,Jeff Reed,Episode : Stalker
2007,Desperate Housewives,Chad,Episode : Gossip
2007,Desperate Housewives,Jeremy McMullin,Episode : Something 's Coming
2008,Medium,Young Joey / Teddy Carmichael,Episode : Being Joey Carmichael
2008,Can You Teach My Alligator Manners ?,Eric,"Episodes : Birthday Manners , Good Sport Gator"
2008,Terminator : The Sarah Connor Chronicles,Martin Marty Bedell,Episode : Goodbye to All That
2008,Special Agent Oso,Michael,Voice role
2008,Family Guy,Various roles,Voice role ; Episode : Tales of a Third Grade Nothing
2009,Mental,Conor Stephens,Episode : Manic at the Disco
2009,Hawthorne,Sam,Episode : Yielding
2010,Ghost Whisperer,Pete Murphy,Episode : The Children 's Parade
2010,Sonny with a Chance,Wesley,Episode : Sonny With a 100% Chance of Meddling
2011,No Ordinary Family,Troy Cotten,Episode : No Ordinary Friends
2011,Fish Hooks,Bradley Brad Kingstone,Voice role ; 2 episodes
2012-2016,Lab Rats,Chase Davenport,Main role ; 90 episodes
2012,Kickin ' It,Brody,Episode : The Wrath of Swan
2012,A.N.T . Farm,Neville,Episode : endurANTs
2016,Lab Rats : Elite Force,Chase,Credited as William Brent
