Rank,Club,Revenue ( € million ),Country,Change
1,Real Madrid,401.4,Spain,
2,Barcelona,365.9,Spain,1
3,Manchester United,327.0,England,1
4,Bayern Munich,289.5,Germany,
5,Arsenal,263.0,England,1
6,Chelsea,242.3,England,1
7,Liverpool,237.0,England,
8,Juventus,203.2,Italy,3
9,Internazionale,196.5,Italy,1
10,Milan,196.5,Italy,2
11,Hamburger SV,146.7,Germany,4
12,Roma,146.4,Italy,3
13,Lyon,139.6,France,1
14,Marseille,133.2,France,2
15,Tottenham Hotspur,132.7,England,1
16,Schalke 04,124.5,Germany,3
17,Werder Bremen,114.7,Germany,> 3
18,Borussia Dortmund,103.5,Germany,> 2
19,Manchester City,101.2,England,1
20,Newcastle United,101.0,England,3
