Mountain,Height ( m ),Drop ( m ),Range,District ( s )
Bös Fulen,2802,367,Schwyzer Alps,Schwyz
Ortstock,2716,538,Schwyzer Alps,Schwyz
Höch Turm,2666,264,Schwyzer Alps,Schwyz
Pfannenstock,2573,373,Schwyzer Alps,Schwyz
Chaiserstock,2515,470,Schwyzer Alps,Schwyz
Fulen,2491,311,Schwyzer Alps,Schwyz
Rossstock,2461,173,Schwyzer Alps,Schwyz
Wasserbergfirst,2341,325,Schwyzer Alps,Schwyz
Mutteristock ( Redertenstock ),2295,745,Schwyzer Alps,March
Druesberg,2282,722,Schwyzer Alps,Schwyz
Brünnelistock,2133,250,Schwyzer Alps,March
Zindlenspitz,2097,195,Schwyzer Alps,March
Fluebrig,2092,268,Schwyzer Alps,March / Schwyz
Biet,1965,185,Schwyzer Alps,Schwyz
Chlingenstock,1935,448,Schwyzer Alps,Schwyz
Fronalpstock,1921,189,Schwyzer Alps,Schwyz
Grosser Mythen,1898,493,Schwyzer Alps,Schwyz
Chöpfenberg,1896,465,Schwyzer Alps,March
Kleiner Mythen,1811,373,Schwyzer Alps,Schwyz
Rigi ( Kulm ),1798,1290,Schwyzer Alps,Küssnacht / Schwyz
