Year,Horse,Age,Trainer,Owner
1971,Run the Gantlet,3,J. Elliott Burch,Rokeby Stables
1972,Cougar II,6,Charles E. Whittingham,Mary F. Jones
1973,Secretariat,3,Lucien Laurin,Penny Chenery
1974,Dahlia,4,Maurice Zilber,Nelson Bunker Hunt
1975,Snow Knight,4,MacKenzie Miller,Windfields Farm
1976,Youth,3,Maurice Zilber,Nelson Bunker Hunt
1977,Johnny D,3,Michael Kay,"Dana S. Bray , Jr"
1978,Mac Diarmida,3,Flint S. Schulhofer,Jerome M. Torsney
1979,Bowl Game,5,"John M. Gaver , Jr",Greentree Stable
1980,John Henry,5,Ron McAnally,Dotsam Stable
1981,John Henry,6,Ron McAnally,Dotsam Stable
1982,Perrault,5,Charles E. Whittingham,Serge Fradkoff & Thierry van Zuylen
1983,John Henry,8,Ron McAnally,Dotsam Stable
1984,John Henry,9,Ron McAnally,Dotsam Stable
1985,Cozzene,5,Jan H. Nerud,John A. Nerud
1986,Manila,3,LeRoy Jolley,Bradley M. Shannon
1987,Theatrical,5,William I. Mott,Allen E. Paulson
1988,Sunshine Forever,3,John M. Veitch,Darby Dan Farm
1989,Steinlen,6,D. Wayne Lukas,Wildenstein Stable
1990,Itsallgreektome,3,Wallace Dollase,Jhayare Stables
