No,Position,Player,Nation
1,Goalkeeper,Connor James,Canada
3,Defender,Jeannot Esua,Cameroon
4,Defender,Allan Zebie,Canada
5,Defender,Ramόn Soria,Spain
6,Midfielder,Edem Mortotsi,Ghana
7,Midfielder,Son Yong-chan,South Korea
8,Defender,Mélé Temguia,Germany
12,Defender,Kareem Moses,Trinidad and Tobago
13,Goalkeeper,Dylon Powley,Canada
16,Forward,Prince Amanda,Canada
17,Forward,Marcus Velado-Tsegaye,Canada
18,Forward,Tomi Ameobi,England
19,Forward,Easton Ongaro,Canada
23,Midfielder,Ajay Khabra,Canada
26,Forward,David Doe,Canada
31,Goalkeeper,Chris Ezoua,Canada
55,Defender,Amer Đidić,Canada
-,Midfielder,Hanson Boakai,Canada
-,Defender,Duran Lee,Canada
-,Midfielder,Erik Zetterberg,Sweden
