Medal,Name,Games,Sport,Event
Silver,Manuel Plaza,1928 Amsterdam,Athletics,Men 's marathon
Silver,Óscar Cristi,1952 Helsinki,Equestrian,Individual jumping
Silver,Óscar Cristi Ricardo Echeverría César Mendoza,1952 Helsinki,Equestrian,Team jumping
Silver,Marlene Ahrens,1956 Melbourne,Athletics,Women 's javelin throw
Bronze,Claudio Barrientos,1956 Melbourne,Boxing,Men 's bantamweight
Silver,Ramón Tapia,1956 Melbourne,Boxing,Men 's middleweight
Bronze,Carlos Lucas,1956 Melbourne,Boxing,Men 's light heavyweight
Silver,Alfonso de Iruarrizaga,1988 Seoul,Shooting,Mixed skeet
Bronze,National U-23 football team Pedro Reyes Nelson Tapia Héctor Tapia Iván Zamorano Javier di Gregorio Cristián Álvarez Francisco Arrué Pablo Contreras Sebastián González David Henríquez Manuel Ibarra Claudio Maldonado Reinaldo Navia Rodrigo Núñez Rafael Olarra Patricio Ormazábal David Pizarro Rodrigo Tello Mauricio Rojas,2000 Sydney,Football,Men 's competition
Gold,Fernando González Nicolás Massú,2004 Athens,Tennis,Men 's doubles
Gold,Nicolás Massú,2004 Athens,Tennis,Men 's singles
Bronze,Fernando González,2004 Athens,Tennis,Men 's singles
Silver,Fernando González,2008 Beijing,Tennis,Men 's singles
