Name,Nationality,Honour,Year,Category
Prince Wilhelm I,Albania,GCVO,1914,Royalty
King Essad Pasha,Albania,KCMG,1916,Royalty
King Alfonso V,Aragon,KG,1450,Royalty
King Ferdinand II,Aragon,KG,1480,Royalty
Emperor Francis I,Austria-Hungary,KG,1814,Royalty
Emperor Franz Joseph I,Austria-Hungary,KG,1867,Royalty
Emperor Franz Joseph I,Austria-Hungary,RVC,1904,Royalty
Emperor Franz Joseph I,Austria-Hungary,GCVO,1904,Royalty
Archduke Franz Ferdinand,Austria-Hungary,KG,1902,Royalty
Archduke Ludwig Victor,Austria-Hungary,GCVO,1903,Royalty
Archduke Leopold Salvator,Austria-Hungary,GCVO,1903,Royalty
Archduke Franz Salvator,Austria-Hungary,GCVO,1903,Royalty
Archduke Rainer Ferdinand,Austria-Hungary,GCVO,1903,Royalty
King Leopold I,Belgium,KG,1816,Royalty
King Leopold II,Belgium,KG,1866,Royalty
King Albert I,Belgium,KG,1914,Royalty
King Albert I,Belgium,GCB,tbd,Royalty
King Leopold III,Belgium,KG,1935,Royalty
King Leopold III,Belgium,RVC,1937,Royalty
King Baudouin I,Belgium,KG,1963,Royalty
