Medal,Name,Sport,Event
Gold,Saša Karan,Athletics,Decathlon
Gold,Tamara Malešev,Athletics,Long jump
Gold,Ljubiša Simić,Boxing,
Gold,Željko Mavrović,Boxing,
Gold,Handball team Valter Matošević Dejan Perić Mehmedalija Mulabdić Zoran Tomić Nenad Peruničić Nedeljko Jovanović Rastko Stefanović Igor Butulija Dragan Škrbić Vladica Spasojević Aleksandar Knežević Vladimir Novaković Senjanin Maglajlija,Handball,Men 's tournament
Gold,Handball team Dragica Đurić Katica Ileš Stanica Gole Ljiljana Marković Stana Vuković Renata Pavličić Tatjana Polajner Dragana Pešić Ljiljana Knežević Snežana Pavlović Zagorka Baštovanović Klaudija Klikovac Milena Jelača Željka Rajak Branka Jovanović,Handball,Women 's tournament
Gold,Nemanja Mirosavljev,Shooting,50m Rifle Prone
Gold,Jasna Šekarić,Shooting,25m Pistol
Gold,Jasna Šekarić,Shooting,10m Air Pistol
Gold,Suzana Skoko,Shooting,10m Air Rifle
Gold,Hrvoje Barić,Swimming,100m Butterfly
Gold,Jasna Fazlić,Table tennis,Women 's singles
Gold,"Ilija Lupulesku , Zoran Primorac",Table tennis,Men 's doubles
Gold,"Gordana Perkučin , Jasna Fazlić",Table tennis,Women 's doubles
Gold,Šaban Trstena,Wrestling,Men 's Freestyle - 52kg
Gold,Goran Kasum,Wrestling,Greco-Roman - 82kg
Silver,Dejan Joković Nenad Đurović Ismail Mačev Slobodan Branković,Athletics,4 × 400 m
Silver,Ilir Mustafa,Boxing,
Silver,Dragomir Poleksić,Boxing,
Silver,Miroslav Jočič,Judo,71 kg
