Pos,No,Driver,Constructor,Lap,Gap
1,8,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:19.910,
2,2,David Coulthard,McLaren - Mercedes,1:20.176,+0.266
3,1,Mika Häkkinen,McLaren - Mercedes,1:20.376,+0.466
4,6,Ralf Schumacher,Williams - Supertec,1:20.444,+0.534
5,18,Olivier Panis,Prost - Peugeot,1:20.638,+0.728
6,9,Giancarlo Fisichella,Benetton - Playlife,1:20.781,+0.871
7,7,Damon Hill,Jordan - Mugen-Honda,1:20.818,+0.908
8,22,Jacques Villeneuve,BAR - Supertec,1:20.825,+0.915
9,4,Eddie Irvine,Ferrari,1:20.842,+0.932
10,19,Jarno Trulli,Prost - Peugeot,1:20.965,+1.055
11,10,Alexander Wurz,Benetton - Playlife,1:21.144,+1.234
12,3,Mika Salo,Ferrari,1:21.314,+1.404
13,12,Pedro Diniz,Sauber - Petronas,1:21.345,+1.435
14,17,Johnny Herbert,Stewart - Ford,1:21.379,+1.469
15,16,Rubens Barrichello,Stewart - Ford,1:21.490,+1.580
16,11,Jean Alesi,Sauber - Petronas,1:21.634,+1.724
17,23,Ricardo Zonta,BAR - Supertec,1:22.267,+2.357
18,5,Alessandro Zanardi,Williams - Supertec,1:22.284,+2.374
19,20,Luca Badoer,Minardi - Ford,1:22.631,+2.721
20,21,Marc Gené,Minardi - Ford,1:22.760,+2.850
