Year,Title,Role
1977,Pumping Iron,Himself
1983,Hercules,Hercules
1983,The Seven Magnificent Gladiators,Han
1985,The Adventures of Hercules,Hercules
1988,Desert Warrior,Zerak
1989,Sinbad of the Seven Seas,Sinbad
1989,Cage,Billy Thomas
1989,All 's Fair,Klaus
1989,Liberty & Bash,Bash
1993,And God Spoke,Himself
1994,Cage II,Billy Thomas
1996,Stand Tall,Himself
1998,The Godson,Bugsy
2003,Hulk,Security guard
2008,The Incredible Hulk,The Hulk Security guard
2009,"I Love You , Man",Himself
2012,The Avengers,The Hulk
2014,Moms ' Night Out,The Hulk
2015,The Scorpion King : The Lost Throne,Skizurra
2015,Avengers Grimm,Iron John
