Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Yolanda Caballero,Colombia,Long distance,2011 2014,Biological passport Tampering,4 years
Gary Cadogan,Great Britain,"Sprinting , hurdling",1998,Nandrolone,2 years
Dorina Calenic,Romania,Long distance,1987,,
Mehmet Çağlayan,Turkey,Long distance,2010,EPO,2 years
Jillian Camarena-Williams,United States,Shot put,2013,Clomiphene,6 months
John Capel,United States,Sprinting,2004 2006,Cannabis Cannabis,Public warning 2 years
Dean Capobianco,Australia,Sprinting,1996,Stanazolol,2 years ( Reduced from 4 years )
Hector Carrasquillo,Puerto Rico,Sprinting,2011,Anabolic steroid,2 years
LaMark Carter,United States,Triple jump,2004,Salbutamol,Public warning
Silviu Casandra,Romania,Race walking,2002,,2 years
Arnaud Casquette,Mauritius,Long jump,2005,Cannabis,6 months
Víctor Castillo,Venezuela,Long jump,2006 2011,Furosemide Methylhexaneamine,2 years 4 years
Recep Çelik,Turkey,Race walking,2012,Metenolone,2 years
Jolanda Čeplak,Slovenia,Middle distance,2007,EPO,2 years
Dwain Chambers,Great Britain,Sprinting,2003,"THG , Testosterone , EPO , HGH , Insulin , Modafinil & Liothyronine",2 years
Hafid Chani,Morocco,Long distance,2011,Biological passport,4 years
Jamel Chatbi,Morocco,Steeplechase,2009,Clenbuterol,3 years
Jani Chathurangani Silva,Sri Lanka,Sprinting,2006,Nandrolone,2 years
David Chaussinand,France,Hammer throw,23 May 2002 24 June 2002,Metenolone Clenbuterol,3 years
Mouhcine Cheaouri,Morocco,Pole vault,2016,Stanozolol,4 years
