Team,City,Stadium,Capacity,Manager
07 Vestur,Sørvágur,á Dungasandi,"2,000",Piotr Krakowski
AB,Argir,Inni í Vika,"2,000",Allan Mørkøre
B36,Tórshavn,Gundadalur,"5,000",Milan Cimburovic
B68,Toftir,Svangaskarð,"1,200",Bill McLeod Jacobsen
EB/Streymur,Streymnes,við Margáir,"1,000",Heðin Askham
HB,Tórshavn,Gundadalur,"5,000",Sámal Erik Hentze
ÍF,Fuglafjørður,í Fløtugerði,"3,000",Jón Simonsen
KÍ,Klaksvík,Injector Arena,"3,000",Aleksandar Djordjević Jákup Mikkelsen
NSÍ,Runavík,við Løkin,"2,000",Pauli Poulsen
Víkingur,Norðragøta,Sarpugerði,"2,000",Anton Skorðadal
