Name,Country,Olympics
Kate Allen,Austria,2004 ( 14 ) 2008
Erin Densham,Australia,( 22 ) 2008 2012
Vanessa Fernandes,Portugal,( 8 ) 2004 2008
Jude Flannery,United States,
Loretta Harrop,Australia,( 5 ) 2000 2004
Helen Jenkins,United Kingdom,( 5 ) 2000 2004
Michellie Jones,Australia,2000
Brigitte McMahon,Switzerland,2000 ( 10 ) 2004
Magali Messmer,Switzerland,2000 ( 13 ) 2008
Emma Moffatt,Australia,2008 ( DNF ) 2012
Lisa Norden,Sweden,( 18 ) 2008 2012
Daniela Ryf,Switzerland,( 7 ) 2008 ( 40 ) 2012
Emma Snowsill,Australia,2008
Nicola Spirig,Switzerland,( 19 ) 2004 ( 6 ) 2008 2012
Chrissie Wellington,United Kingdom,
Susan Williams,United States,2004
