Pos,No,Driver,Constructor,Time,Gap
1,37,Bertrand Gachot,Onyx - Ford,1:11.506,-
2,17,Nicola Larini,Osella - Ford,1:11.766,+0.260
3,8,Stefano Modena,Brabham - Judd,1:11.809,+0.303
4,7,Martin Brundle,Brabham - Judd,1:12.021,+0.515
5,36,Stefan Johansson,Onyx - Ford,1:12.248,+0.742
6,21,Alex Caffi,Dallara - Ford,1.12.501,+0.995
7,33,Gregor Foitek,EuroBrun - Judd,1:13.128,+1.622
8,18,Piercarlo Ghinzani,Osella - Ford,1:13.429,+1.923
9,41,Yannick Dalmas,AGS - Ford,1:13.720,+2.214
10,34,Bernd Schneider,Zakspeed - Yamaha,1:14.124,+2.618
11,32,Pierre-Henri Raphanel,Coloni - Ford,1:14.206,+2.700
12,35,Aguri Suzuki,Zakspeed - Yamaha,1:14.266,+2.760
13,39,Volker Weidler,Rial - Ford,1:15.096,+3.590
