Medal,Name,Sport,Event,Date
Gold,Thailand,Beach Sepaktakraw,Men 's Regu,16 December
Gold,Thailand,Beach Sepaktakraw,Women 's Regu,15 December
Gold,Thailand,Beach Sepaktakraw,Men 's Team,11 December
Gold,Thailand,Beach Sepaktakraw,Women 's Team,11 December
Gold,Khet Tipsumalai,Beach Woodball,Men 's Singles,13 December
Gold,Siripat Karinit,Beach Woodball,Women 's Singles,13 December
Gold,Thailand,Beach Woodball,Men 's Team,13 December
Gold,Thailand,Beach Woodball,Women 's Team,13 December
Silver,Klayut Mongkholsamai,Beach Woodball,Men 's Singles,13 December
Silver,Praewpan Chaithong,Beach Woodball,Women 's Singles,13 December
Bronze,Siraphop Wannapin,Beach Woodball,Men 's Singles,13 December
Gold,Somkhit Sumethowetchakun,Bodybuilding,Men 's -65kg,10 December
Gold,Sawaeng Panapoi,Bodybuilding,Men 's -80kg,11 December
Bronze,Jiraphan Pongkam,Bodybuilding,Men 's -60kg,10 December
Bronze,Somsri Turinthaisong,Bodybuilding,Men 's -70kg,10 December
Silver,Thailand,Beach Kabaddi,Women,16 December
Gold,Phairot On-nim,Jet Ski,Runabout Open,15 December
Silver,Kritsada Wuttithosaporn,Jet Ski,Runabout Endurance Open,16 December
Bronze,Chok-uthit Molee,Jet Ski,Runabout Open,15 December
Bronze,Thanpun Phangchunan,Jet Ski,Runabout 800cc Superstock,14 December
