Club,League/Division,Lvl,State,City
Pakenham United,Victorian State League Division 5,8,Victoria,Melbourne
Palerang United,State League Division 6,9,Australian Capital Territory,Braidwood
Palmerston,Northern Zone All Age,3,Northern Territory,Darwin
Para Hills Knights,National Premier Leagues South Australia,2,South Australia,Adelaide
Parramatta,National Premier Leagues NSW 3,3,New South Wales,Sydney
Pascoe Vale,National Premier Leagues Victoria 2,3,Victoria,Melbourne
Peninsula Power,Football Queensland Premier League,3,Queensland,Brisbane
Peninsula Strikers,Victorian State League Division 2,5,Victoria,Melbourne
Perth,National Premier Leagues Western Australia,2,Western Australia,Perth
Perth Glory,A-League,1,Western Australia,Perth
Playford City Patriots,National Premier Leagues State League 2,4,South Australia,Adelaide
Plenty Valley Lions,Victorian State League Division 5,8,Victoria,Melbourne
Point Cook,Victorian State League Division 4,7,Victoria,Melbourne
Port Adelaide Pirates,National Premier Leagues State League 1,3,South Australia,Adelaide
Port Darwin,NorZone Premier League,2,Northern Territory,Darwin
Port Melbourne,National Premier Leagues Victoria,2,Victoria,Melbourne
Preston Lions,National Premier Leagues Victoria 3,4,Victoria,Melbourne
Prospect United,NSW State League,5,New South Wales,Sydney
