Stadium,Location,No . hosted,Years hosted
"Mercedes-Benz Superdome , formerly Louisiana Superdome","New Orleans , Louisiana",7 ( 8 ),"1978 , 1981 , 1986 , 1990 , 1997 , 2002 , 2013 , 2024"
"Hard Rock Stadium , formerly Joe Robbie Stadium , Pro Player Stadium , Dolphin Stadium , and Sun Life Stadium","Miami Gardens , Florida",6,"1989 , 1995 , 1999 , 2007 , 2010 , 2020"
Orange Bowl,"Miami , Florida",5,"1968 , 1969 , 1971 , 1976 , 1979"
Rose Bowl,"Pasadena , California",5,"1977 , 1980 , 1983 , 1987 , 1993"
Tulane Stadium,"New Orleans , Louisiana",3,"1970 , 1972 , 1975"
"Qualcomm Stadium , formerly Jack Murphy Stadium , now known as SDCCU Stadium","San Diego , California",3,"1988 , 1998 , 2003"
Raymond James Stadium,"Tampa , Florida",2 ( 3 ),"2001 , 2009 , 2021"
"State Farm Stadium , formerly University of Phoenix Stadium","Glendale , Arizona",2 ( 3 ),"2008 , 2015 , 2023"
Los Angeles Memorial Coliseum,"Los Angeles , California",2,"1967 , 1973"
Tampa Stadium,"Tampa , Florida",2,"1984 , 1991"
Georgia Dome,"Atlanta , Georgia",2,"1994 , 2000"
"NRG Stadium , formerly Reliant Stadium","Houston , Texas",2,"2004 , 2017"
Rice Stadium,"Houston , Texas",1,1974
Pontiac Silverdome,"Pontiac , Michigan",1,1982
Stanford Stadium,"Stanford , California",1,1985
Hubert H. Humphrey Metrodome,"Minneapolis , Minnesota",1,1992
Sun Devil Stadium,"Tempe , Arizona",1,1996
"Alltel Stadium , formerly Jacksonville Municipal Stadium and EverBank Field , now TIAA Bank Field","Jacksonville , Florida",1,2005
Ford Field,"Detroit , Michigan",1,2006
AT & T Stadium,"Arlington , Texas",1,2011
