Number,Location,Theme,Dates,Chair,Host
1 st,"Philippine Normal College Auditorium , Ermita , Manila",Unity for Service,"Sep 13 , 1953","Librado I. Ureta , Alpha 50",Beta Chapter
2 nd,"Boy Scouts of the Philippines Building , Ermita , Manila",,"Dec 17 , 1955 - Dec 18 , 1955",,Epsilon Chapter
3 rd,"Boy Scouts of the Philippines Building , Ermita , Manila and University of the Philippines , Diliman Diliman , Quezon City",,"Dec 6 , 1958 - Dec 7 , 1958",,Eta Chapter
4 th,"University of the Philippines , Los Baños , Los Baños , Laguna",,"Dec 18 , 1960 - Dec 19 , 1960",,Theta Chapter
5 th,"National University , Sampaloc , Manila",Revitalizing the Alpha Phi Omega Spirit,"December 22 , 1962 - December 23 , 1962",,Beta Chapter
6 th,"Mapúa Institute of Technology , Intramuros , Manila","Humility , Integrity , Honesty for a Better Nation","Mar 6 , 1965 - Mar 7 , 1965","Ignacio J. Sevilla , Sr. , Alpha 50",Delta chapter
7 th,"Far Eastern University , Sampaloc , Manila",For God and Country,"December 15 , 1968 - December 16 , 1968",,Alpha chapter
8 th,"UPLB , Los Baños , Laguna",Alpha Phi Omega Answers the Nations Call,"December 17 , 1971 - December 19 , 1971","Rolando V. Virtucio , Theta 62",Theta chapter
9 th,"Baptist Camp , Mariveles , Bataan",Alpha Phi Omega : Its Role in Contemporary Philippines,"March 25 , 1976 - March 28 , 1976","Librado I. Ureta , Alpha 50",National Council
10 th,"Camp 7 , Minglanilla , Cebu",Towards the Strengthening of Organizational Leadership in the Alpha Phi Omega in the Next Decade,"March 30 , 1979 - Apr 1 , 1979","Manuel A. Reyes , Alpha Zeta 66",Region VII & National Council
11 th,"Kabataang Barangay Training Center , Malasag , Cagayan de Oro City",The Fraternity and Sorority : Their Relevance and Challenges in the 80s,"December 27 , 1981 - December 30 , 1981","Angel A. Tuason , Eta 71",Region X & National Council
12 th,"Bagong Lipunan Settlement Project , Bamban , Tarlac",Continuing Accent on Organizational Development and Service,"May 27 , 1983 - May 29 , 1983","Jose V. Cutaran , Alpha Pi",Region III & National Council
13 th,"Boy Scouts of the Philippines Camp , Mount Makiling , Los Baños , Laguna",Alpha Phi Omega Ideology : A New Dimension Towards Genuine Service and Commitment,"December 14 , 1985 - December 16 , 1985","Marlyn A. Pimentel-Neri , Theta 70",National Council
14 th,"People 's Center Tacloban City /Commission on Audit Training Center , Palo , Leyte",Professionalism ( in A PHI O ) toward National Solidarity,"December 19 , 1987 - December 21 , 1987","Jose Antonio L. Dimaano , Pi 74",Region VIII & National Council
15 th,"GSP Camp Alano , Toril , Davao City",Service for Peace ( Paglilingkod Para sa Kapayapaan ),"May 26 , 1989 - May 28 , 1989","Paul A. Balagat , Alpha Omicron 69",Region XI & National Council
16 th,"Bulwagang Balagtas , Polytechnic University of the Philippines , Manila , Santa Mesa , Manila",Reflections : The APhiO Culture ( Balik-Tanaw : Ang Kulturang APhiO ),"May 24 , 1991 - May 26 , 1991","Angel A. Lansi , Jr. , Gamma Pi 78",NCR & National Council
17 th,"University of the Philippines , Visayas , Miag-ao , Iloilo",The Alpha Phi Omega and the Filipino Values,"May 21 , 1993 - May 23 , 1993","Marlyn A. Pimentel-Neri , Theta 70",Region VI & National Council
18 th,"Feliciano and Sons Convention Center , Tetuan , Zamboanga City","Think Global , Act Local","May 27 , 1995 - May 29 , 1995","Ronald S. Devesa , Pi 67",Region IX & National Council
19 th,"Teachers Camp , Baguio City , Benguet",Brotherhood…Its True and Honorable Essence in Retrospect,"May 2 , 1997 - May 4 , 1997","Jose Antonio L. Dimaano , Pi",Region I & National Council
20 th,"Greenheights Convention and Business Center , Buhangin , Davao City",Towards the Golden Year : A Force to Reckon With,"May 7 , 1999 - May 9 , 1999","Agaton C. Labrador , Jr. , Nu 74",Region XI
