Year,Champions,Score,Runner-up,Tournament MVP,Venue
1980,Old Dominion,62-51,Navy,"Mark West , ODU","Hampton Coliseum ( Hampton , VA )"
1981,James Madison,69-60,Richmond,"Charles Fisher , JMU","Hampton Coliseum ( Hampton , VA )"
1982,Old Dominion,58-57,James Madison,"Mark West , ODU","Norfolk Scope ( Norfolk , VA )"
1983,James Madison,41-38,William & Mary,"Derek Steele , JMU","Robins Center ( Richmond , VA )"
1984,Richmond,74-55,Navy,"Johnny Newman , UR","Convocation Center ( Harrisonburg , VA )"
1985,Navy,85-76,Richmond,"Vernon Butler , Navy","William & Mary Hall ( Williamsburg , VA )"
1986,Navy,72-61,George Mason,"David Robinson , Navy","Patriot Center ( Fairfax , VA )"
1987,Navy,53-50,UNC Wilmington,"David Robinson , Navy","Hampton Coliseum ( Hampton , VA )"
1988,Richmond,73-70,George Mason,"Peter Wollfolk , UR","Hampton Coliseum ( Hampton , VA )"
1989,George Mason,78-72,UNC Wilmington,"Kenny Sanders , GMU","Hampton Coliseum ( Hampton , VA )"
1990,Richmond,77-72,James Madison,"Kenny Atkinson , UR","Richmond Coliseum ( Richmond , VA )"
1991,Richmond,81-78,George Mason,"Jim Shields , UR","Richmond Coliseum ( Richmond , VA )"
1992,Old Dominion,78-73,James Madison,"Ricardo Leonard , ODU","Richmond Coliseum ( Richmond , VA )"
1993,East Carolina,54-49,James Madison,"Lester Lyons , ECU","Richmond Coliseum ( Richmond , VA )"
1994,James Madison,77-76,Old Dominion,"Odell Hodge , ODU","Richmond Coliseum ( Richmond , VA )"
1995,Old Dominion,80-75,James Madison,"Petey Sessoms , ODU","Richmond Coliseum ( Richmond , VA )"
1996,VCU,46-43,UNC Wilmington,"Bernard Hopkins , VCU","Richmond Coliseum ( Richmond , VA )"
1997,Old Dominion,62-58,James Madison,"Odell Hodge , ODU","Richmond Coliseum ( Richmond , VA )"
1998,Richmond,79-64,UNC Wilmington,"Daryl Oliver , UR","Richmond Coliseum ( Richmond , VA )"
1999,George Mason,63-58,Old Dominion,"George Evans , GMU","Richmond Coliseum ( Richmond , VA )"
