Title,Publisher,Release Date,CERO
Baseball,Nintendo,"December 2 , 2006",A
Donkey Kong,Nintendo,"December 2 , 2006",A
Donkey Kong Jr,Nintendo,"December 2 , 2006",A
Gomoku Narabe Renju,Nintendo,"December 2 , 2006",A
Gradius,Konami,"December 2 , 2006",A
Ice Hockey,Nintendo,"December 2 , 2006",A
Pinball,Nintendo,"December 2 , 2006",A
Soccer,Nintendo,"December 2 , 2006",A
Solomon no Kagi,Tecmo,"December 2 , 2006",A
Super Mario Bros,Nintendo,"December 2 , 2006",A
Tennis,Nintendo,"December 2 , 2006",A
The Hyrule Fantasy : Zelda no Densetsu,Nintendo,"December 2 , 2006",A
Urban Champion,Nintendo,"December 2 , 2006",A
Xevious,Namco Bandai Games,"December 2 , 2006",A
Mario Bros,Nintendo,"December 12 , 2006",A
Wario no Mori,Nintendo,"December 12 , 2006",A
Kage no Densetsu,Taito,"December 19 , 2006",A
Ninja JaJaMaru-kun,Jaleco,"December 26 , 2006",A
Ice Climber,Nintendo,"January 16 , 2007",A
Ikki,Sunsoft,"January 16 , 2007",A
